trial,group,chosen_winner,cost,payout,gross,fees,slip_cost,net_0.5,net_1,net_2
73,17825,521964,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
74,17825,521964,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
75,22863,537490,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
76,23792,540881,2.8,100.0,97.2,0.5,96.686,96.672,96.644
77,16284,517321,3.1,100.0,96.9,0.5,96.3845,96.369,96.338
78,21220,528820,5.75,100.0,94.25,0.5,93.7212,93.6925,93.635
79,21206,528788,1.3,100.0,98.7,0.5,98.1935,98.187,98.174
80,20461,527079,0.65,100.0,99.35,0.5,98.8468,98.8435,98.837
81,17824,521963,0.35,100.0,99.65,0.5,99.1483,99.1465,99.143
82,22214,533851,0.15,100.0,99.85,0.5,99.3492,99.3485,99.347
83,22863,537490,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
84,17825,521964,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
85,22863,537490,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
86,22863,537490,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
87,21662,531202,41.55,100.0,58.45,0.5,57.7423,57.5345,57.119
88,22863,537490,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
89,27830,553856,63.25,100.0,36.75,4.5,31.9338,31.6175,30.985
90,21206,528788,1.3,100.0,98.7,0.5,98.1935,98.187,98.174
91,25009,546612,5.05,100.0,94.95,0.5,94.4248,94.3995,94.349
92,22214,533851,0.15,100.0,99.85,0.5,99.3492,99.3485,99.347
93,22214,533851,0.15,100.0,99.85,0.5,99.3492,99.3485,99.347
94,20461,527079,0.65,100.0,99.35,0.5,98.8468,98.8435,98.837
95,16284,517321,3.1,100.0,96.9,0.5,96.3845,96.369,96.338
96,20461,527079,0.65,100.0,99.35,0.5,98.8468,98.8435,98.837
97,16284,517321,3.1,100.0,96.9,0.5,96.3845,96.369,96.338
98,25009,546612,5.05,100.0,94.95,0.5,94.4248,94.3995,94.349
99,17824,521963,0.35,100.0,99.65,0.5,99.1483,99.1465,99.143
100,21220,528820,5.75,100.0,94.25,0.5,93.7212,93.6925,93.635
101,20461,527079,0.65,100.0,99.35,0.5,98.8468,98.8435,98.837
102,22214,533851,0.15,100.0,99.85,0.5,99.3492,99.3485,99.347
103,17825,521964,1.35,100.0,98.65,0.5,98.1433,98.1365,98.123
104,23792,540881,2.8,100.0,97.2,0.5,96.686,96.672,96.644
105,20461,527079,0.65,100.0,99.35,0.5,98.8468,98.8435,98.837
106,21662,531202,41.55,100.0,58.45,0.5,57.7423,57.5345,57.119
107,17824,521963,0.35,100.0,99.65,0.5,99.1483,99.1465,99.143
108,21220,528820,5.75,100.0,94.25,0.5,93.7212,93.6925,93.635
109,22214,533851,0.15,100.0,99.85,0.5,99.3492,99.3485,99.347
110,16284,517321,3.1,100.0,96.9,0.5,96.3845,96.369,96.338
111,25009,546612,5.05,100.0,94.95,0.5,94.4248,94.3995,94.349
112,21662,531202,41.55,100.0,58.45,0.5,57.7423,57.5345,57.119
113,17824,521963,0.35,100.0,99.65,0.5,99.1483,99.1465,99.143
114,20461,527079,0.65,100.0,99.35,0.5,98.8468,98.8435,98.837
